job_id,job_title,company,location,skills_required,experience_years,salary
1,Data Analyst,TCS,Hyderabad,Python SQL Excel,1,400000
2,Data Scientist,Infosys,Bangalore,Python Machine Learning SQL,3,900000
3,Software Engineer,Wipro,Chennai,Java C++ SQL,2,600000
4,Machine Learning Engineer,Amazon,Hyderabad,Python Deep Learning ML,4,1200000
5,Backend Developer,Google,Bangalore,Python Java SQL,3,1100000
6,Frontend Developer,Microsoft,Pune,JavaScript HTML CSS,2,700000
7,AI Engineer,Accenture,Hyderabad,Python NLP Deep Learning,5,1500000
8,Business Analyst,Capgemini,Mumbai,Excel SQL Power BI,2,650000
9,Python Developer,TCS,Chennai,Python Django SQL,1,500000
10,SQL Developer,Infosys,Pune,SQL Database ETL,2,550000
11,Data Analyst,Wipro,Delhi,Excel SQL Tableau,1,450000
12,Data Scientist,Amazon,Bangalore,Python ML DL SQL,4,1300000
13,Software Engineer,Google,Hyderabad,Java Spring Boot SQL,3,1000000
14,Machine Learning Engineer,Microsoft,Chennai,Python ML AI,3,1150000
15,Backend Developer,Accenture,Pune,Java Python SQL,2,800000
16,Frontend Developer,Capgemini,Hyderabad,JavaScript React CSS,2,750000
17,AI Engineer,TCS,Bangalore,Python Deep Learning NLP,4,1400000
18,Business Analyst,Infosys,Mumbai,Excel Power BI SQL,3,700000
19,Python Developer,Wipro,Chennai,Python Flask SQL,1,520000
20,SQL Developer,Amazon,Hyderabad,SQL ETL Data Warehousing,3,900000
21,Data Analyst,Google,Bangalore,Excel SQL Python,2,650000
22,Data Scientist,Microsoft,Pune,Python ML AI SQL,5,1500000
23,Software Engineer,Accenture,Chennai,Java C++ OOP,2,600000
24,Machine Learning Engineer,Capgemini,Hyderabad,Python ML DL NLP,4,1200000
25,Backend Developer,TCS,Bangalore,Python Django SQL,2,700000
26,Frontend Developer,Infosys,Chennai,HTML CSS JavaScript,1,450000
27,AI Engineer,Wipro,Pune,Python Deep Learning AI,5,1600000
28,Business Analyst,Amazon,Mumbai,Excel Tableau SQL,3,800000
29,Python Developer,Google,Hyderabad,Python Flask API,2,750000
30,SQL Developer,Microsoft,Bangalore,SQL ETL Power BI,3,950000
31,Data Analyst,TCS,Pune,Excel SQL Python,2,600000
32,Data Scientist,Infosys,Hyderabad,Python ML DL,4,1250000
33,Software Engineer,Wipro,Bangalore,Java Spring SQL,3,850000
34,Machine Learning Engineer,Amazon,Chennai,Python ML NLP,4,1200000
35,Backend Developer,Google,Hyderabad,Python Django API,3,950000
36,Frontend Developer,Microsoft,Bangalore,React JS CSS,2,800000
37,AI Engineer,Accenture,Pune,Python AI DL NLP,5,1550000
38,Business Analyst,Capgemini,Chennai,Excel SQL BI,2,700000
39,Python Developer,TCS,Hyderabad,Python Flask SQL,1,480000
40,SQL Developer,Infosys,Bangalore,SQL ETL DW,3,920000
41,Data Analyst,Wipro,Pune,Excel Tableau SQL,2,610000
42,Data Scientist,Amazon,Hyderabad,Python ML AI,4,1350000
43,Software Engineer,Google,Chennai,Java OOP SQL,2,750000
44,Machine Learning Engineer,Microsoft,Bangalore,Python ML DL,3,1150000
45,Backend Developer,Accenture,Hyderabad,Java Python API,2,820000
46,Frontend Developer,Capgemini,Pune,HTML CSS JS,1,500000
47,AI Engineer,TCS,Chennai,Python DL NLP,5,1500000
48,Business Analyst,Infosys,Hyderabad,Excel BI SQL,3,720000
49,Python Developer,Wipro,Bangalore,Python Django API,2,700000
50,SQL Developer,Amazon,Chennai,SQL ETL BI,3,910000
51,Data Analyst,Google,Pune,Excel SQL Python,2,640000
52,Data Scientist,Microsoft,Hyderabad,Python ML AI,4,1400000
53,Software Engineer,Accenture,Bangalore,Java Spring Boot,3,900000
54,Machine Learning Engineer,Capgemini,Chennai,Python ML NLP DL,4,1250000
55,Backend Developer,TCS,Hyderabad,Python Django SQL,2,720000
56,Frontend Developer,Infosys,Bangalore,React JS CSS HTML,2,780000
57,AI Engineer,Wipro,Pune,Python AI NLP DL,5,1600000
58,Business Analyst,Amazon,Chennai,Excel SQL BI,3,820000
59,Python Developer,Google,Hyderabad,Python Flask API,2,760000
60,SQL Developer,Microsoft,Bangalore,SQL ETL Power BI,3,960000
61,Data Analyst,TCS,Chennai,Excel SQL Python,1,500000
62,Data Scientist,Infosys,Pune,Python ML DL AI,4,1300000
63,Software Engineer,Wipro,Hyderabad,Java OOP SQL,2,700000
64,Machine Learning Engineer,Amazon,Bangalore,Python ML NLP,4,1350000
65,Backend Developer,Google,Chennai,Python API SQL,3,900000
66,Frontend Developer,Microsoft,Hyderabad,HTML CSS JS React,2,820000
67,AI Engineer,Accenture,Bangalore,Python DL NLP AI,5,1550000
